seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes filename
91614_DAStool_bin128.fa_plasmid_summary.tsv k99_2439260	2674	No terminal repeats	4	11	0.7424	NA	0	0.0000	NA	NA
91614_DAStool_bin128.fa_plasmid_summary.tsv k99_294929	4100	No terminal repeats	3	11	0.7249	NA	0	1.3484	NA	NA
91614_DAStool_bin130.fa_plasmid_summary.tsv k99_409434	57971	No terminal repeats	56	11	0.9765	NA	0	7.5250	NA	NA
91614_DAStool_bin130.fa_plasmid_summary.tsv k99_2202143	4285	No terminal repeats	6	11	0.9197	NA	0	0.8334	NA	NA
91614_DAStool_bin130.fa_plasmid_summary.tsv k99_139057	22166	No terminal repeats	23	11	0.8855	NA	0	5.1289	NA	NA
91614_DAStool_bin130.fa_plasmid_summary.tsv k99_754443	13187	No terminal repeats	13	11	0.8671	NA	0	3.1963	NA	NA
91614_DAStool_bin130.fa_plasmid_summary.tsv k99_1722042	4775	No terminal repeats	7	11	0.8235	NA	0	2.4292	NA	NA
91614_DAStool_bin130.fa_plasmid_summary.tsv k99_1949681	26058	No terminal repeats	30	11	0.7202	NA	0	5.8146	NA	NA
91614_DAStool_bin130.fa_plasmid_summary.tsv k99_1433079	5779	No terminal repeats	4	11	0.7017	NA	0	1.7107	NA	NA
91614_DAStool_bin135.fa_plasmid_summary.tsv k99_427899	3188	No terminal repeats	8	11	0.7989	NA	0	0.9181	NA	NA
91614_DAStool_bin135.fa_plasmid_summary.tsv k99_1649778	5324	No terminal repeats	10	11	0.7890	NA	0	0.6240	NA	NA
91614_DAStool_bin135.fa_plasmid_summary.tsv k99_657281	3814	No terminal repeats	4	11	0.7205	NA	0	0.3344	NA	NA
91614_DAStool_bin138.fa_plasmid_summary.tsv k99_2569829	5937	No terminal repeats	6	11	0.9715	NA	3	1.6007	T_virB3;virb4	NA
91614_DAStool_bin138.fa_plasmid_summary.tsv k99_2582110	5438	No terminal repeats	5	11	0.9042	NA	0	0.9296	NA	NA
91614_DAStool_bin138.fa_plasmid_summary.tsv k99_2661287	4909	No terminal repeats	7	11	0.8781	NA	0	0.5974	NA	NA
91614_DAStool_bin138.fa_plasmid_summary.tsv k99_1188729	5958	No terminal repeats	5	11	0.8694	NA	0	0.2528	NA	NA
91614_DAStool_bin138.fa_plasmid_summary.tsv k99_638808	4010	No terminal repeats	3	11	0.8457	NA	0	0.2528	NA	NA
