seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy filename
91614_DAStool_bin11.fa_virus_summary.tsv k99_1977008	2703	No terminal repeats	NA	7	11	0.9428	NA	0	4.1748	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin11.fa_virus_summary.tsv k99_82410	3090	No terminal repeats	NA	2	11	0.7016	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin128.fa_virus_summary.tsv k99_871541	3719	No terminal repeats	NA	5	11	0.9731	NA	2	6.3799	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin128.fa_virus_summary.tsv k99_815732	4573	No terminal repeats	NA	6	11	0.8137	NA	1	1.6407	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin128.fa_virus_summary.tsv k99_718430	1190	No terminal repeats	NA	1	11	0.7309	NA	1	1.6745	Unclassified
91614_DAStool_bin135.fa_virus_summary.tsv k99_1622994	2550	No terminal repeats	NA	2	11	0.7012	NA	0	2.6032	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin138.fa_virus_summary.tsv k99_564953	6350	No terminal repeats	NA	3	11	0.7204	NA	1	0.2008	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin140.fa_virus_summary.tsv k99_1313159	6348	No terminal repeats	NA	8	11	0.9823	NA	2	11.5281	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin140.fa_virus_summary.tsv k99_1050407	4673	No terminal repeats	NA	9	11	0.9763	NA	1	10.1280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin140.fa_virus_summary.tsv k99_274634	1895	No terminal repeats	NA	2	11	0.9717	NA	1	2.9972	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin140.fa_virus_summary.tsv k99_573895	5402	No terminal repeats	NA	1	11	0.8491	NA	0	1.4782	Unclassified
91614_DAStool_bin140.fa_virus_summary.tsv k99_1643443	1350	No terminal repeats	NA	2	11	0.8310	NA	1	1.6407	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin140.fa_virus_summary.tsv k99_1391641	3788	No terminal repeats	NA	5	11	0.7614	NA	0	0.0000	Unclassified
91614_DAStool_bin155.fa_virus_summary.tsv k99_1542700	2044	No terminal repeats	NA	1	11	0.9607	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin155.fa_virus_summary.tsv k99_388317	2551	No terminal repeats	NA	2	11	0.8367	NA	0	1.4416	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin155.fa_virus_summary.tsv k99_1136123	2894	No terminal repeats	NA	3	11	0.8115	NA	0	1.5353	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin155.fa_virus_summary.tsv k99_2435995	2883	No terminal repeats	NA	4	11	0.7836	NA	0	0.0000	Unclassified
91614_DAStool_bin155.fa_virus_summary.tsv k99_1453944	4544	No terminal repeats	NA	4	11	0.7622	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin155.fa_virus_summary.tsv k99_1001834	2682	No terminal repeats	NA	4	11	0.7505	NA	0	0.0000	Unclassified
91614_DAStool_bin19.fa_virus_summary.tsv k99_131320	3118	No terminal repeats	NA	4	11	0.8686	NA	0	4.7949	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin19.fa_virus_summary.tsv k99_2365999	4951	No terminal repeats	NA	6	11	0.7915	NA	0	2.4135	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin225.fa_virus_summary.tsv k99_328872	6441	No terminal repeats	NA	14	11	0.7013	NA	0	4.4412	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin231.fa_virus_summary.tsv k99_689206	3079	No terminal repeats	NA	3	11	0.8656	NA	0	3.4094	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin231.fa_virus_summary.tsv k99_704703	4004	No terminal repeats	NA	2	11	0.8051	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin26.fa_virus_summary.tsv k99_594397	2768	No terminal repeats	NA	1	11	0.7038	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin44.fa_virus_summary.tsv k99_188029	2343	No terminal repeats	NA	6	11	0.9796	NA	1	8.6533	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin44.fa_virus_summary.tsv k99_2899679	2766	No terminal repeats	NA	6	11	0.9766	NA	0	8.7414	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin44.fa_virus_summary.tsv k99_52869	2987	No terminal repeats	NA	6	11	0.9590	NA	0	4.7892	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin44.fa_virus_summary.tsv k99_1713614	3721	No terminal repeats	NA	5	11	0.9452	NA	3	5.9618	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin44.fa_virus_summary.tsv k99_2242715	3379	No terminal repeats	NA	6	11	0.9153	NA	0	5.1490	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin44.fa_virus_summary.tsv k99_505108	3939	No terminal repeats	NA	5	11	0.9122	NA	0	2.5111	Unclassified
91614_DAStool_bin44.fa_virus_summary.tsv k99_1716993	2214	No terminal repeats	NA	1	11	0.9073	NA	1	1.2985	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin44.fa_virus_summary.tsv k99_1118310	3058	No terminal repeats	NA	4	11	0.8970	NA	3	4.5746	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin44.fa_virus_summary.tsv k99_2818260	2815	No terminal repeats	NA	3	11	0.8840	NA	3	3.7457	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin57.fa_virus_summary.tsv k99_1360509	2895	No terminal repeats	NA	3	11	0.7868	NA	1	4.6944	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin57.fa_virus_summary.tsv k99_433789	3127	No terminal repeats	NA	1	11	0.7158	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91614_DAStool_bin63.fa_virus_summary.tsv k99_156891	3577	No terminal repeats	NA	2	11	0.8219	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin132.fa_virus_summary.tsv k99_435049	2622	No terminal repeats	NA	3	11	0.9812	NA	0	5.0834	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin17.fa_virus_summary.tsv k99_1027037	12545	No terminal repeats	NA	14	11	0.9809	NA	2	8.2920	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin17.fa_virus_summary.tsv k99_976611	2980	No terminal repeats	NA	1	11	0.9430	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin17.fa_virus_summary.tsv k99_858905	6626	No terminal repeats	NA	7	11	0.9378	NA	2	3.1578	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin17.fa_virus_summary.tsv k99_1952537	2014	No terminal repeats	NA	3	11	0.9089	NA	1	1.4841	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin17.fa_virus_summary.tsv k99_2171290	2890	No terminal repeats	NA	4	11	0.8497	NA	1	3.3756	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
