gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description filename
91614_DAStool_bin128.fa_plasmid_genes.tsv k99_294929_1	3	2639	2637	1	0.722	11	None	GENOMAD.130538.PC	0.0002875	47	0	0	0	1	NA	NA	NA	PF04917	Bacterial shufflon protein, N-terminal constant region
91614_DAStool_bin128.fa_plasmid_genes.tsv k99_294929_2	2661	3755	1095	-1	0.742	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin128.fa_plasmid_genes.tsv k99_294929_3	3783	4100	318	1	0.755	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin128.fa_plasmid_genes.tsv k99_2439260_1	3	536	534	-1	0.566	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin128.fa_plasmid_genes.tsv k99_2439260_2	1145	1933	789	-1	0.692	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin128.fa_plasmid_genes.tsv k99_2439260_3	1923	2480	558	-1	0.658	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin128.fa_plasmid_genes.tsv k99_2439260_4	2488	2673	186	-1	0.677	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_1	2	82	81	1	0.593	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_2	126	410	285	1	0.611	11	AGGA	GENOMAD.171740.CP	1.585e-20	87	0	0	0	1	NA	NA	NA	PF07045;COG5470	Uncharacterized conserved protein, DUF1330 family
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_3	420	836	417	1	0.657	11	GGA/GAG/AGG	GENOMAD.212729.PC	5.341e-60	203	0	0	0	1	NA	NA	NA	PF06139	BphX-like
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_4	837	1769	933	-1	0.685	11	None	GENOMAD.153340.CP	4.494e-16	82	0	0	0	1	NA	NA	NA	PF10100;TIGR00745;K00077;COG1893	2-dehydropantoate 2-reductase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_5	1774	3093	1320	-1	0.646	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_6	3151	4080	930	-1	0.581	11	4Base/6BMM	GENOMAD.160812.CP	4.844e-18	88	0	0	0	1	NA	NA	NA	PF00487;K22875;COG3239	Fatty acid desaturase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_7	4270	5121	852	1	0.583	11	GGAG/GAGG	GENOMAD.126142.CP	8.712e-37	143	0	0	0	1	NA	NA	NA	PF01614;PF09012;COG1414;TIGR02431;K10973	DNA-binding transcriptional regulator, IclR family
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_8	5158	6420	1263	1	0.601	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_9	6435	7601	1167	-1	0.648	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
