gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description filename
91614_DAStool_bin11.fa_virus_genes.tsv k99_82410_1	2	2509	2508	-1	0.641	11	GGGGT	GENOMAD.064018.VV	1.235e-07	58	0	0	0	2561	Caudoviricetes	NA	NA	PF13872;K14440;COG1111;TIGR04095	ERCC4-related helicase
91614_DAStool_bin11.fa_virus_genes.tsv k99_82410_2	2617	3090	474	-1	0.671	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin11.fa_virus_genes.tsv k99_1977008_1	1	363	363	-1	0.617	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin11.fa_virus_genes.tsv k99_1977008_2	372	1295	924	-1	0.723	11	GGAG/GAGG	GENOMAD.161617.VP	2.309e-28	119	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
91614_DAStool_bin11.fa_virus_genes.tsv k99_1977008_3	1292	1609	318	-1	0.654	11	GGxGG	GENOMAD.046241.VV	2.612e-12	64	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
91614_DAStool_bin11.fa_virus_genes.tsv k99_1977008_4	1624	1926	303	-1	0.726	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin11.fa_virus_genes.tsv k99_1977008_5	1910	2275	366	-1	0.683	11	GGxGG	GENOMAD.167136.VP	9.819e-13	66	0	0	0	2561	Caudoviricetes	NA	NA	PF05866;COG4570;K01160	Endodeoxyribonuclease RusA
91614_DAStool_bin11.fa_virus_genes.tsv k99_1977008_6	2379	2588	210	-1	0.657	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin11.fa_virus_genes.tsv k99_1977008_7	2588	2701	114	-1	0.614	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin128.fa_virus_genes.tsv k99_718430_1	58	1188	1131	1	0.645	11	AGGAG	GENOMAD.158681.VV	0.0007509	44	0	0	1	1	NA	NA	NA	PF00089;PF11649;K01311;COG3591;TIGR02038	V8-like Glu-specific endopeptidase
91614_DAStool_bin128.fa_virus_genes.tsv k99_815732_1	1	315	315	1	0.689	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin128.fa_virus_genes.tsv k99_815732_2	372	1895	1524	1	0.705	11	GGAG/GAGG	GENOMAD.026355.VV	2.814e-26	117	0	0	1	2561	Caudoviricetes	NA	NA	PF20307;TIGR02238	Divergent DnaB-like ATPase
